type, lat, lon, heading1, heading2, length, width, date processed, filename, date of image, time of image, image resolution, sensor, image bit-depth, security classification, control and handling, number of tips, processing algorithm, note
UNKNOWN, 4.54005, 4.59644, 11.05 , 191.05, 892.00, 551.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.20858, 7.39679, 0.00 , 180.00, 717.00, 527.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 4.12994, 7.53100, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.46126, 5.16875, 0.00 , 180.00, 533.00, 533.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.43685, 5.14232, 106.91 , 286.91, 1292.00, 699.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.77036, 4.90589, 0.00 , 180.00, 554.00, 262.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.56158, 5.07348, 70.50 , 250.50, 898.00, 719.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 4.80373, 5.30922, 82.11 , 262.11, 921.00, 740.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
UNKNOWN, 5.35822, 4.34471, 36.40 , 216.40, 875.00, 821.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
Greater than 300 GT, 5.40838, 4.59227, 0.00 , 180.00, 554.00, 262.00, Aug-16-11, Z:\GhanaProject\Images\GulfOfGuinea_geotiff\ASA_WSM_1PNPDE20110326_092524_000001903100_00424_47421_8163.tif, UNKNOWN, UNKNOWN, 75.71 meter(s) per pixel, , 16-bit Unsigned Integer   , Unknown, Unknown, 60, SAR detection., Ship Typing Algorithm not applied due to poor image resolution., 
