mmsi, lat, lon, timestamp, imo, vesseltypeint, vessel name, callsign, length, width
636091182, -11.0153, 8.74695, 1301158317, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091182, -11.0157, 8.74709, 1301158323, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091182, -11.0211, 8.74923, 1301158407, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091182, -11.024, 8.75023, 1301158450, 8513807, 71, BUXMASTER, AxKIu, 163, 26
636091256, 1.00637, 5.08857, 1301158304, 9056272, 70, MANUELA, AxAGu, 0, 0
636091256, 1.01812, 5.08487, 1301158467, 9056272, 70, MANUELA, AxAGu, 0, 0
636091274, -4.75592, 11.8287, 1301158312, 9264233, 70, SIEFKE, AxLLw, 0, 0
636091310, 3.85723, 9.46752, 1301158250, 9357858, 70, NILEDUTCH SHENZHEN, AxLZv, 0, 0
636091310, 3.85983, 9.47132, 1301158310, 9357858, 70, NILEDUTCH SHENZHEN, AxLZv, 0, 0
636091310, 3.86187, 9.47433, 1301158358, 9357858, 70, NILEDUTCH SHENZHEN, AxLZv, 0, 0
636091310, 3.86423, 9.47777, 1301158413, 9357858, 70, NILEDUTCH SHENZHEN, AxLZv, 0, 0
636091310, 3.8671, 9.48197, 1301158484, 9357858, 70, NILEDUTCH SHENZHEN, AxLZv, 0, 0
636091322, -5.86465, 13.0492, 1301158185, 9141716, 70, PETER, AxMCv, 0, 0
636091439, -9.77923, 10.0323, 1301158140, 9264219, 70, INGA Hn, AxNUx, 0, 0
636091439, -9.77996, 10.0309, 1301158170, 9264219, 70, INGA Hn, AxNUx, 0, 0
636091439, -9.78225, 10.0266, 1301158260, 9264219, 70, INGA Hn, AxNUx, 0, 0
636091439, -9.78324, 10.0247, 1301158300, 9264219, 70, INGA Hn, AxNUx, 0, 0
636091439, -9.78475, 10.0218, 1301158360, 9264219, 70, INGA Hn, AxNUx, 0, 0
636091463, 4.46392, 7.16245, 1301158303, 9047271, 70, SUMMER PHOENIX, AxOEu, 0, 0
636091463, 4.46386, 7.16254, 1301158346, 9047271, 70, SUMMER PHOENIX, AxOEu, 0, 0
636091591, 6.00967, 2.26433, 1301158426, 9188764, 80, ELBTANK GERMANY, AxPRu, 0, 0
636091591, 6.00967, 2.26433, 1301158447, 9188764, 80, ELBTANK GERMANY, AxPRu, 0, 0
636091630, -8.77768, 13.2637, 1301158085, 9421790, 52, HELLESPONT DRIVE, AxQPx, 0, 0
636091630, -8.77768, 13.2637, 1301158115, 9421790, 52, HELLESPONT DRIVE, AxQPx, 0, 0
636091630, -8.77769, 13.2638, 1301158216, 9421790, 52, HELLESPONT DRIVE, AxQPx, 0, 0
636091630, -8.77769, 13.2638, 1301158265, 9421790, 52, HELLESPONT DRIVE, AxQPx, 0, 0
636091630, -8.77769, 13.2639, 1301158295, 9421790, 52, HELLESPONT DRIVE, AxQPx, 0, 0
636091630, -8.77768, 13.264, 1301158336, 9421790, 52, HELLESPONT DRIVE, AxQPx, 0, 0
636091741, 3.66651, 9.34199, 1301158242, 9306483, 70, JULIA SCHULTE, AxSDy, 0, 0
636091741, 3.66779, 9.34263, 1301158266, 9306483, 70, JULIA SCHULTE, AxSDy, 0, 0
636091741, 3.67029, 9.34413, 1301158312, 9306483, 70, JULIA SCHULTE, AxSDy, 0, 0
636091741, 3.67318, 9.34566, 1301158362, 9306483, 70, JULIA SCHULTE, AxSDy, 0, 0
636091903, 4.39308, 2.14782, 1301158409, 9519286, 79, POS ACHAT, AxUHw  , 189, 32
636091903, 4.39317, 2.14833, 1301158479, 9519286, 79, POS ACHAT, AxUHw  , 189, 32
636091958, 5.95758, 2.49603, 1301158447, 9134490, 73, DELMAS LIBREVILLE, AxUXs, 205, 26
636092053, 1.40318, 9.24053, 1301158286, 9233741, 89, NELL JACOB, AxVXw  , 274, 48
636092053, 1.4032, 9.24058, 1301158346, 9233741, 89, NELL JACOB, AxVXw  , 274, 48
636092053, 1.40322, 9.24057, 1301158417, 9233741, 89, NELL JACOB, AxVXw  , 274, 48
636092053, 1.40323, 9.2406, 1301158467, 9233741, 89, NELL JACOB, AxVXw  , 274, 48
636092111, 5.89733, 2.29133, 1301158439, 9260847, 89, WAPPEN VON LEIPZIG, AxXBx  , 117, 18
636092124, -4.28767, 7.916, 1301158160, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
636092124, -4.2875, 7.9155, 1301158167, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
636092124, -4.28567, 7.90917, 1301158269, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
636092124, -4.28467, 7.90583, 1301158321, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
636092124, -4.2845, 7.905, 1301158334, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
636092124, -4.283, 7.90083, 1301158400, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
636092124, -4.282, 7.89717, 1301158460, 9189134, 89, JOHANN JACOB, AxXDw, 227, 32
657010000, 6.43147, 3.33302, 1301158396, 321965, 33, SEA LION, uNCJ, 102, 17
657010000, 6.43147, 3.33302, 1301158487, 321965, 33, SEA LION, uNCJ, 102, 17
657011000, 6.435, 3.39333, 1301158448, 0, 52, pHAFIA, uNBBR, 30, 10
657011006, 4.24266, 8.04649, 1301158322, 9263887, 52, IBOM, uNBCH, 0, 0
657011006, 4.24266, 8.04649, 1301158472, 9263887, 52, IBOM, uNBCH, 0, 0
657186000, 4.27095, 7.0418, 1301158494, 0, 35, SURFER qtq, uNFBs  , 0, 0
657216000, 3.05564, 6.80654, 1301158382, 1604208, 90, MoV SIKA, uNKM   , 20, 6
657216000, 3.05399, 6.80591, 1301158442, 1604208, 90, MoV SIKA, uNKM   , 20, 6
657221000, 6.36325, 3.38562, 1301158417, 7414688, 80, SR TRADER, uNKP, 0, 0
657221000, 6.36323, 3.38562, 1301158477, 7414688, 80, SR TRADER, uNKP, 0, 0
657228000, 4.02753, 9.67112, 1301158275, 9466037, 60, SURFER srr, uNFBy  , 35, 6
657228000, 4.02752, 9.67112, 1301158355, 9466037, 60, SURFER srr, uNFBy  , 35, 6
657228000, 4.02754, 9.67111, 1301158444, 9466037, 60, SURFER srr, uNFBy  , 35, 6
657243000, 6.43378, 3.32419, 1301158476, 9468695, 52, BERGER ENDURANCE, uNLD   , 25, 10
657248000, 4.48823, 8.05535, 1301158365, 7827146, 52, WAO BONNY, uNJSr, 0, 0
657248000, 4.48823, 8.05534, 1301158385, 7827146, 52, WAO BONNY, uNJSr, 0, 0
657248000, 4.48826, 8.05534, 1301158456, 7827146, 52, WAO BONNY, uNJSr, 0, 0
657267000, 4.3785, 7.9322, 1301158300, 924412800, 60, OMAMBALA RIVER, uNBAW  , 0, 0
657267000, 4.37848, 7.93219, 1301158369, 924412800, 60, OMAMBALA RIVER, uNBAW  , 0, 0
657267000, 4.37847, 7.93218, 1301158389, 924412800, 60, OMAMBALA RIVER, uNBAW  , 0, 0
657267000, 4.37846, 7.93216, 1301158439, 924412800, 60, OMAMBALA RIVER, uNBAW  , 0, 0
657268000, 4.2397, 7.79404, 1301158412, 924636000, 60, QUAmIBOE RIVER, uNBAZ  , 0, 0
657268000, 4.24025, 7.79325, 1301158485, 924636000, 60, QUAmIBOE RIVER, uNBAZ  , 0, 0
657274000, 6.43436, 3.31645, 1301158468, 7235850, 80, NADIA, uNLV, 101, 16
657327000, 4.1816, 5.41382, 1301158379, 8978423, 90, WAO BRASS, uNFEr  , 44, 9
657327000, 4.17872, 5.41693, 1301158489, 8978423, 90, WAO BRASS, uNFEr  , 44, 9
657339000, 6.30208, 3.00311, 1301158421, 7361477, 80, ALPINE QUEEN, uNKOs, 0, 0
657339000, 6.30213, 3.0031, 1301158481, 7361477, 80, ALPINE QUEEN, uNKOs, 0, 0
657374000, 6.4651, 3.37522, 1301158474, 933048400, 52, BERGER DISCOVERY, uNLDt  , 25, 10
657376000, 6.43403, 3.32362, 1301158454, 947440000, 52, BERGER CONFIDENCE, uNLDv  , 25, 10
657379000, 5.18515, 5.17815, 1301158430, 7020126, 52, GOOD HOPE, uNMU, 0, 0
657389000, 5.77957, 4.82073, 1301158370, 8115837, 90, JOHANNA r, uNQCr  , 51, 13
